Date,Year,Reporter,Email,Location,Description,Longitude,Latitude,Count
"2025-04-07T16:32:37.991Z","2022","Elizabeth Martin","elizabeth.martin664@yahoo.com","201 W. 5th Street","Bus Station & Down Town","-80.317099","36.077955","25"
"2025-04-07T16:32:38.006Z","2022","Sandra Thomas","sandra.thomas194@hotmail.com","5039 University Street","Hanes Mill area","-80.299646","36.062264","12"
"2025-04-07T16:32:38.006Z","2023","Susan Johnson","susan.johnson141@gmail.com","2700 Peter Creek Parkway","Brewer Rd @ Peters Creek Parkway behind the BP Station","-80.310913","36.103250","2"
"2025-04-07T16:32:38.007Z","2024","Sarah Martin","sarah.martin869@yahoo.com","3475 PKWY Village Ct.","Walmart on Peters Creek","-80.235455","36.121417","24"
"2025-04-07T16:32:38.007Z","2024","Susan Taylor","susan.taylor538@yahoo.com","2672 Peter Creek Pkwy","Car at Planet Fitness on Peters Creek","-80.333326","36.096927","1"
"2025-04-07T16:32:38.008Z","2021","Patricia Moore","patricia.moore892@yahoo.com","513 Jonestown Road","Waffle House Jonestown","-80.210258","36.042073","14"
"2025-04-07T16:32:38.008Z","2023","Mary Thomas","mary.thomas677@outlook.com","495 Liberty Street","Downtown","-80.209439","36.156530","7"
"2025-04-07T16:32:38.009Z","2020","Michael Jones","michael.jones121@yahoo.com","1208 25th Street","25th & Cleveland","-80.310389","36.129720","5"
"2025-04-07T16:32:38.010Z","2020","Linda White","linda.white743@outlook.com","800 E. Hanes Mill Road","Hanes Mill","-80.241016","36.122129","5"
"2025-04-07T16:32:38.010Z","2022","Margaret Williams","margaret.williams846@gmail.com","320 E. Hanes Mill Road","Hanes Mill Area","-80.303719","36.081548","23"
"2025-04-07T16:32:38.011Z","2023","Mary Martin","mary.martin156@yahoo.com","725 N. Cherry Street","Cherry St near Fire Station","-80.281816","36.046973","18"
"2025-04-07T16:32:38.012Z","2024","Betty Martinez","betty.martinez49@aol.com","201 W. 4th Street","Downtown","-80.217300","36.099142","17"
"2025-04-07T16:32:38.012Z","2025","Margaret Johnson","margaret.johnson14@hotmail.com","1715 Brewer Road","Brewer Rd","-80.287116","36.111905","5"
"2025-04-07T16:32:38.013Z","2021","Lisa Anderson","lisa.anderson250@aol.com","699 Research Pkwy","Bridge on 7th St","-80.329513","36.075032","10"
"2025-04-07T16:32:38.014Z","2023","Jessica Jackson","jessica.jackson427@gmail.com","104 W. 4th Street","4th St","-80.264644","36.127931","24"
"2025-04-07T16:32:38.015Z","2020","James White","james.white893@aol.com","3475 Parkway Village Ct.","Car Walmart Peters Creek","-80.268308","36.107835","5"
"2025-04-07T16:32:38.016Z","2020","Susan Thompson","susan.thompson591@outlook.com","320 E. Hanes Mill Road","Hanes Mill Rd","-80.323396","36.048228","20"
"2025-04-07T16:32:38.017Z","2025","John Williams","john.williams772@aol.com","3775 Oxford Station Way","behind Hobby Lobby","-80.292932","36.032291","17"
"2025-04-07T16:32:38.018Z","2023","Jessica Moore","jessica.moore189@aol.com","3925 Oxford Station Way","Spot beside the Conns","-80.248430","36.143709","15"
"2025-04-07T16:32:38.018Z","2023","Robert Taylor","robert.taylor58@aol.com","951 N. Liberty Street","Abandonded building on 25th","-80.317149","36.158347","15"
"2025-04-07T16:32:38.019Z","2021","Sarah Harris","sarah.harris541@hotmail.com","400 Hanes Mill Road","Hanes Mill area and Near Bethesda","-80.227873","36.033873","16"
"2025-04-07T16:32:38.019Z","2021","Nancy Martin","nancy.martin719@gmail.com","5995 University Pkwy","Behind Wells Fargo on University","-80.332333","36.120588","21"
"2025-04-07T16:32:38.020Z","2020","Patricia Martinez","patricia.martinez282@yahoo.com","502 N. Broad Street","Car in CwD lot","-80.231223","36.116662","7"
"2025-04-07T16:32:38.020Z","2024","David Miller","david.miller892@hotmail.com","100 Hanes Square Shop Circle","Hanes Mall Blvd","-80.304112","36.076021","15"
"2025-04-07T16:32:38.021Z","2024","Sarah Rodriguez","sarah.rodriguez595@gmail.com","2859 Reynolda Road","Mama Zoe's bench","-80.259583","36.124370","2"
"2025-04-07T16:32:38.021Z","2023","Robert Garcia","robert.garcia349@aol.com","3925 Oxford Station Way","Hanes Mall Blvd by Conns","-80.333272","36.116384","2"
"2025-04-07T16:32:38.022Z","2022","Sandra Anderson","sandra.anderson235@yahoo.com","800 E. Hanes Mill Road","Hanes Mill","-80.253526","36.159745","9"
"2025-04-07T16:32:38.022Z","2022","Robert Rodriguez","robert.rodriguez376@hotmail.com","800 E. Hanes Mill Road","Hanes Mill area","-80.324193","36.068011","10"
"2025-04-07T16:32:38.023Z","2021","Linda Garcia","linda.garcia448@hotmail.com","800 E. Hanes Mill Road","Hanes Mill area","-80.279069","36.152969","18"
"2025-04-07T16:32:38.023Z","2025","Betty Smith","betty.smith930@outlook.com","2985 Fairlawn Drive","Farilawn - Silas Creek","-80.252522","36.133703","13"
"2025-04-07T16:32:38.023Z","2020","Sandra Anderson","sandra.anderson11@aol.com","300 E. Hanes Mill Road","beside Crafty Crab","-80.195193","36.116629","11"
"2025-04-07T16:32:38.024Z","2022","Jennifer Moore","jennifer.moore861@gmail.com","284 Summit Square Blvd","Sams Club off University","-80.241563","36.111571","22"
"2025-04-07T16:32:38.024Z","2025","Jessica Taylor","jessica.taylor852@outlook.com","800 E. Hanes Mill Road","University Pkway behind K&W","-80.284152","36.112315","8"
"2025-04-07T16:32:38.024Z","2022","Jessica Wilson","jessica.wilson292@hotmail.com","414 Northwest Blvd","Tressel near Samaritan","-80.231104","36.040032","7"
"2025-04-07T16:32:38.025Z","2021","Karen Thomas","karen.thomas412@aol.com","2491 Konnoak Drive","Konnoak Dr @ Flow","-80.222814","36.143626","2"
"2025-04-07T16:32:38.025Z","2022","Jessica Martin","jessica.martin680@outlook.com","701 N.Lliberty Street","7th St bus stop","-80.199462","36.032007","25"
"2025-04-07T16:32:38.025Z","2023","William Taylor","william.taylor572@aol.com","2985 Fairlawn Drive","Car at Fairlawn Sheetz","-80.235925","36.062614","22"
"2025-04-07T16:32:38.025Z","2023","John Wilson","john.wilson474@yahoo.com","450 N. Spring Street","4 1/2 St near Centenary","-80.321849","36.034527","10"
"2025-04-07T16:32:38.026Z","2020","Karen Martin","karen.martin747@hotmail.com","937 West Street","Granville Park","-80.231592","36.041449","17"
"2025-04-07T16:32:38.026Z","2020","Betty Wilson","betty.wilson64@outlook.com","930 North Patterson Ave","Bushes across from Bethesta","-80.339281","36.094036","3"
"2025-04-07T16:32:38.026Z","2020","Betty Thomas","betty.thomas775@yahoo.com","201 N. 5th Street","Near Downtown Bus Station","-80.214655","36.154750","17"
"2025-04-07T16:32:38.027Z","2021","Elizabeth Garcia","elizabeth.garcia282@yahoo.com","200 10th Street","Sleeping outside Crisis Control","-80.209844","36.114435","12"
"2025-04-07T16:32:38.027Z","2024","John Wilson","john.wilson607@outlook.com","3182 Peter Creek Pkwy","Peters Creek near Wendys","-80.236902","36.127655","10"
"2025-04-07T16:32:38.027Z","2025","Sarah Wilson","sarah.wilson945@yahoo.com","5005 Ohio Ave","Car off Ohio Rd","-80.331362","36.155879","9"
"2025-04-07T16:32:38.028Z","2021","William Smith","william.smith242@hotmail.com","605 Effrid Street","Car on Effrid & 24th st","-80.270209","36.095874","8"
"2025-04-07T16:32:38.028Z","2025","Margaret Brown","margaret.brown133@outlook.com","385 W. Hanes Mill Road","YMCA on Hanes Mill","-80.313179","36.141120","15"
"2025-04-07T16:32:38.028Z","2021","Michael Martinez","michael.martinez862@hotmail.com","201 W. 5th Street","Bus Station","-80.234157","36.148063","12"
"2025-04-07T16:32:38.028Z","2021","Susan Garcia","susan.garcia92@aol.com","2575 Parlway Drive","St. Tims","-80.218211","36.056020","4"
"2025-04-07T16:32:38.029Z","2025","Mary White","mary.white927@hotmail.com","203 Cemetery Street","Cemetery St","-80.320855","36.150939","13"
"2025-04-07T16:32:38.029Z","2022","Lisa Anderson","lisa.anderson251@gmail.com","3415 Glenn Ave","Car on Glen","-80.264525","36.057976","20"
"2025-04-07T16:32:38.029Z","2022","Susan Garcia","susan.garcia817@hotmail.com","5505 Becks Church Road","railroad tracks off Becks Church Rd that runs behind Hanes and the Landfill","-80.215322","36.111148","15"
"2025-04-07T16:32:38.030Z","2023","Margaret Anderson","margaret.anderson575@hotmail.com","1490 S. Broad Street","Washington Park","-80.237943","36.055777","8"
"2025-04-07T16:32:38.030Z","2021","Robert Martinez","robert.martinez655@aol.com","482 E. Hanes Mil Road","Tent off Hanes Mill Road","-80.296560","36.038016","3"
"2025-04-07T16:32:38.030Z","2025","Karen White","karen.white535@hotmail.com","625 W. 6th Street","Tent behind Crystal Towers","-80.327252","36.039909","20"
"2025-04-07T16:32:38.030Z","2022","Karen Brown","karen.brown500@yahoo.com","4170 Patterson Ave","Patterson St at Germantown road","-80.196498","36.050960","15"
"2025-04-07T16:32:38.032Z","2025","Margaret Garcia","margaret.garcia748@yahoo.com","1818 N. Peace Haven Road","Peace Haven / Robinhood area","-80.293177","36.155282","2"
"2025-04-07T16:32:38.032Z","2021","Mary Anderson","mary.anderson364@yahoo.com","502 N. Broad Street","Around CwD area","-80.315170","36.045026","20"
"2025-04-07T16:32:38.033Z","2022","Mary Jones","mary.jones311@gmail.com","625 W. 6th Street","Abandoned house behind Crystal Towers","-80.305389","36.096548","13"
"2025-04-07T16:32:38.033Z","2022","Susan Martinez","susan.martinez588@yahoo.com","3459 Thomasville Road","Abandoned building off 109","-80.238300","36.107633","25"
"2025-04-07T16:32:38.033Z","2025","Patricia Miller","patricia.miller994@hotmail.com","502 N. Broad Street","Broad Street- CWD property","-80.305360","36.044320","20"
"2025-04-07T16:32:38.034Z","2022","Karen Harris","karen.harris27@aol.com","1625 3rd Street","New Walkertown Rd & University","-80.191270","36.136890","16"
"2025-04-07T16:32:38.035Z","2024","Nancy Rodriguez","nancy.rodriguez289@hotmail.com","1955 Peace Haven Road","Harris Teeter on Peace Haven","-80.253223","36.089978","4"
"2025-04-07T16:32:38.037Z","2020","Sandra Rodriguez","sandra.rodriguez61@outlook.com","7012 Brandemere Road","Car on Brandemere Ln","-80.225406","36.034651","6"
"2025-04-07T16:32:38.040Z","2023","Susan Jones","susan.jones174@gmail.com","1490 S. Broad Street","Washington Park","-80.220071","36.127936","3"
"2025-04-07T16:32:38.041Z","2025","David Anderson","david.anderson281@outlook.com","858 NE 25th Street","off 52 at Liberty St","-80.336993","36.128759","1"
"2025-04-07T16:32:38.042Z","2024","Jessica Jackson","jessica.jackson359@gmail.com","6005 University Pkwy","Hanes Mall area","-80.326601","36.077721","2"
"2025-04-07T16:32:38.042Z","2020","Karen Taylor","karen.taylor598@yahoo.com","200 W. Hanes Mill Road","Hanes Mill","-80.336860","36.157461","19"
"2025-04-07T16:32:38.044Z","2020","Michael Martinez","michael.martinez236@gmail.com","1935 Union Cross Road","Car near Gumtree Rd","-80.307864","36.111789","11"
"2025-04-07T16:32:38.045Z","2023","Jessica White","jessica.white46@gmail.com","2901 Waughtown Street","Waughtown St behind the Speedway","-80.194153","36.074214","20"
"2025-04-07T16:32:38.046Z","2024","Karen Taylor","karen.taylor860@yahoo.com","5918 University Pkwy","Hanes Mill area","-80.235118","36.040216","11"
"2025-04-07T16:32:38.047Z","2025","Linda Jones","linda.jones876@aol.com","3637 Patterson Ave","Patterson Ave beside the DMV","-80.335109","36.121080","15"
"2025-04-07T16:32:38.047Z","2023","Robert Jackson","robert.jackson571@hotmail.com","500 N. Martin Luther King Blvd","Popeyes-MLK Jr","-80.288736","36.044063","9"
"2025-04-07T16:32:38.048Z","2020","Michael Johnson","michael.johnson389@aol.com","1016 Trade Street","Trade St","-80.332712","36.042945","18"
"2025-04-07T16:32:38.048Z","2024","Betty Thompson","betty.thompson692@gmail.com","3188 Peters Creek Pkwy","Car on Peters Creek","-80.219587","36.120533","14"
"2025-04-07T16:32:38.049Z","2024","Jennifer Thompson","jennifer.thompson625@gmail.com","701 N. Liberty Street","Downtown area","-80.263640","36.034262","8"
"2025-04-07T16:32:38.050Z","2021","Sandra Anderson","sandra.anderson137@outlook.com","2163 Bethabara Road","Bethabra Park","-80.270937","36.091524","23"
"2025-04-07T16:32:38.051Z","2022","Nancy Rodriguez","nancy.rodriguez124@yahoo.com","2700 Peters Creek Pkwy","Peters Creek Pkwy near Brewer","-80.275188","36.034042","2"
"2025-04-07T16:32:38.052Z","2023","Sarah Williams","sarah.williams292@aol.com","300 N. Hanes Mill Road","Sams Club off University","-80.199805","36.033376","2"
"2025-04-07T16:32:38.054Z","2020","Sarah Taylor","sarah.taylor538@outlook.com","527 N. Cherry Street","Cherry St","-80.326075","36.133530","12"
"2025-04-07T16:32:38.054Z","2022","David Taylor","david.taylor504@yahoo.com","502 N. Broad Street","Car in CwD lot","-80.244302","36.056576","8"
"2025-04-07T16:32:38.055Z","2022","William Williams","william.williams251@yahoo.com","5211 University Ave","University Pkwy beside Zips Car Wash","-80.308503","36.141447","15"
"2025-04-07T16:32:38.056Z","2024","Linda Wilson","linda.wilson79@aol.com","5420 University","Target on University","-80.280675","36.153799","22"
"2025-04-07T16:32:38.058Z","2023","Patricia Miller","patricia.miller426@hotmail.com","1528 Bruce Street","Downtown area & outside at Skyline Apartments","-80.323912","36.081507","17"
"2025-04-07T16:32:38.059Z","2023","Nancy Thompson","nancy.thompson910@yahoo.com","2527 Pittsburg Ave","the Greenhouse off Pittsborough Ave","-80.322533","36.117242","11"
"2025-04-07T16:32:38.059Z","2025","Lisa Johnson","lisa.johnson680@aol.com","2202 Patterson Ave","abandoned housed and buildings along Patterson and Glenn","-80.207472","36.128498","11"
"2025-04-07T16:32:38.060Z","2023","Mary Martin","mary.martin485@yahoo.com","3350 Robinhood Road","Peace Haven / Robinhood Area","-80.311886","36.071336","11"
"2025-04-07T16:32:38.061Z","2024","Sarah Harris","sarah.harris117@yahoo.com","5918 University Pkwy","Hanes Mill area","-80.297448","36.140769","10"
"2025-04-07T16:32:38.062Z","2020","William White","william.white951@aol.com","361 W. End Blvd","West End area","-80.289443","36.158339","1"
"2025-04-07T16:32:38.063Z","2020","Sandra Johnson","sandra.johnson44@hotmail.com","1404 Northwest Blvd","Hanes Park area","-80.245429","36.117020","10"
"2025-04-07T16:32:38.064Z","2025","Sandra Brown","sandra.brown767@gmail.com","400 Leisure lane","Miller Park","-80.239949","36.086130","4"
"2025-04-07T16:32:38.065Z","2021","David Williams","david.williams981@aol.com","201 N. 5th Street","Somewhere downtown","-80.243048","36.043198","17"
"2025-04-07T16:32:38.066Z","2020","Jennifer Jackson","jennifer.jackson356@yahoo.com","201 N. 5th Street","West End and Downtown","-80.200013","36.103297","23"
"2025-04-07T16:32:38.067Z","2023","Sandra Martin","sandra.martin518@outlook.com","1208 25th Street","camper on Cleveland at 25th St","-80.249054","36.041830","5"
"2025-04-07T16:32:38.068Z","2024","Mary Garcia","mary.garcia119@hotmail.com","2551 Peter Creek Pkwy","Silas Creek & Peters Creek","-80.255137","36.062641","7"
"2025-04-07T16:32:38.069Z","2024","Karen Jones","karen.jones778@outlook.com","4170 Patterson Ave","Patterson @ 52","-80.213597","36.050895","3"
"2025-04-07T16:32:38.070Z","2023","Jennifer Harris","jennifer.harris237@aol.com","930 S. Broad Street","At Green Tree business","-80.261082","36.086224","3"
"2025-04-07T16:32:38.071Z","2021","Jennifer Williams","jennifer.williams971@outlook.com","110S. Cherry Street","Cherry St Bridge over Bus 40","-80.310360","36.102333","23"
"2025-04-07T16:32:38.072Z","2021","Susan Garcia","susan.garcia248@gmail.com","745 Jonestown Road","Van near McKays","-80.213324","36.143331","10"
"2025-04-07T16:32:38.073Z","2024","Sandra Taylor","sandra.taylor315@gmail.com","201 N. 5th Street","Downtown","-80.321561","36.152334","20"
"2025-04-07T16:32:38.074Z","2025","Susan Harris","susan.harris652@outlook.com","284 Summit Square Blvd","Car on Hanes Mill Rd","-80.232886","36.092361","21"
"2025-04-07T16:32:38.075Z","2021","Michael Jones","michael.jones780@outlook.com","203 Cemetery Street","off of Cemetery St","-80.301993","36.070320","19"
"2025-04-07T16:32:38.076Z","2025","Nancy Garcia","nancy.garcia14@aol.com","2551 Peter Creek Pkwy","Silas Creek / Peters Creek area","-80.255760","36.065863","9"
"2025-04-07T16:32:38.077Z","2025","John Miller","john.miller745@aol.com","4200 Patterson Ave","Patterson @ Germanton","-80.336837","36.067745","23"
"2025-04-07T16:32:38.077Z","2025","Lisa Jackson","lisa.jackson581@aol.com","4200 Patterson Ave","Patterson @ Germanton","-80.207088","36.137015","8"
"2025-04-07T16:32:38.078Z","2024","Jessica Garcia","jessica.garcia868@hotmail.com","4505 Kester Mill Road","Car Kester Mill","-80.288157","36.144589","10"
"2025-04-07T16:32:38.079Z","2022","Patricia Jackson","patricia.jackson733@aol.com","507 Akron Drive","Car on Akron Dr","-80.243780","36.092979","5"
"2025-04-07T16:32:38.080Z","2025","Susan Miller","susan.miller758@hotmail.com","1490 S. Broad Street","Washington Park","-80.336859","36.087673","13"
"2025-04-07T16:32:38.081Z","2023","Nancy Harris","nancy.harris363@yahoo.com","1319 Calvert Drive","Car on Calvert Dr","-80.297711","36.090155","9"
"2025-04-07T16:32:38.082Z","2022","Sandra Johnson","sandra.johnson15@yahoo.com","937 West Street","Granville Park","-80.225475","36.149887","7"
"2025-04-07T16:32:38.082Z","2022","Jessica Smith","jessica.smith382@gmail.com","2202 Patterson Ave","abando off Glenn St","-80.242488","36.088510","7"
"2025-04-07T16:32:38.083Z","2024","William Harris","william.harris708@outlook.com","1111 Salem Valley Road","Salem Crossing","-80.263625","36.052579","14"
"2025-04-07T16:32:38.084Z","2022","Nancy Rodriguez","nancy.rodriguez853@aol.com","1420 W. 1st Street","Quiet Pint","-80.228778","36.127666","15"
"2025-04-07T16:32:38.085Z","2025","William Smith","william.smith364@hotmail.com","201 W. 5th Street","Bus Station","-80.282998","36.155429","12"
"2025-04-07T16:32:38.085Z","2022","Karen Garcia","karen.garcia24@gmail.com","1200 Trade Street","behind Salvation Army and the radio station","-80.206639","36.065843","5"
"2025-04-07T16:32:38.089Z","2020","Jessica White","jessica.white613@aol.com","2375 Brewer Road","Brewer Rd","-80.216017","36.118402","13"
"2025-04-07T16:32:38.091Z","2022","David Smith","david.smith453@outlook.com","513 Jonestown Road","Waffle House Jonestown","-80.205381","36.100386","18"
"2025-04-07T16:32:38.092Z","2024","Patricia Brown","patricia.brown305@aol.com","625 W. 6th Street","Tent behind Crystal Towers","-80.238150","36.076178","10"
"2025-04-07T16:32:38.092Z","2024","Elizabeth Jackson","elizabeth.jackson237@hotmail.com","625 W. 6th Street","Cherry St. behind Crystal Towers","-80.280076","36.122216","11"
"2025-04-07T16:32:38.093Z","2023","Susan White","susan.white696@hotmail.com","81 Becks Church Road","By tracks off Becks Church Rd","-80.333582","36.154621","8"
